Date,AAPL Close Price,AAPL Open Price,NASDAQ,DJIA,S&P 500,Real GDP ($B),Unemployment Rate,Interest Rate,CPI
2010-12-06,40.998000000000005,40.792,2594.92,11362.19,1223.12,15750.625,9.3,0.18,92.4739575642254
2010-12-07,40.751999999999995,41.477,2598.49,11359.16,1223.75,15750.625,9.3,0.17,92.4739575642254
2010-12-08,41.111000000000004,40.95,2609.16,11372.48,1228.28,15750.625,9.3,0.17,92.4739575642254
2010-12-09,40.948,41.293,2616.67,11370.06,1233.0,15750.625,9.3,0.16,92.4739575642254
2010-12-10,41.05,40.935,2637.54,11410.32,1240.4,15750.625,9.3,0.16,92.4739575642254
2010-12-13,41.193000000000005,41.537,2624.91,11428.56,1240.46,15750.625,9.3,0.17,92.4739575642254
2010-12-14,41.016999999999996,41.235,2627.72,11476.54,1241.59,15750.625,9.3,0.19,92.4739575642254
2010-12-15,41.026,40.994,2617.22,11457.47,1235.23,15750.625,9.3,0.2,92.4739575642254
2010-12-16,41.138999999999996,41.12,2637.31,11499.25,1242.87,15750.625,9.3,0.2,92.4739575642254
2010-12-17,41.056999999999995,41.156000000000006,2642.97,11491.91,1243.91,15750.625,9.3,0.2,92.4739575642254
2010-12-20,41.263000000000005,41.159,2649.56,11478.13,1247.08,15750.625,9.3,0.21,92.4739575642254
2010-12-21,41.516999999999996,41.376000000000005,2667.61,11533.16,1254.6,15750.625,9.3,0.2,92.4739575642254
2010-12-22,41.641000000000005,41.537,2671.48,11559.49,1258.84,15750.625,9.3,0.19,92.4739575642254
2010-12-23,41.442,41.619,2665.6,11573.49,1256.77,15750.625,9.3,0.19,92.4739575642254
2010-12-27,41.581,41.388999999999996,2667.27,11555.03,1257.54,15750.625,9.3,0.19,92.4739575642254
2010-12-28,41.68,41.739,2662.88,11575.54,1258.51,15750.625,9.3,0.18,92.4739575642254
2010-12-29,41.657,41.765,2666.93,11585.38,1259.78,15750.625,9.3,0.18,92.4739575642254
2010-12-30,41.45,41.67,2662.98,11569.71,1257.88,15750.625,9.3,0.19,92.4739575642254
2010-12-31,41.306999999999995,41.364,2652.87,11577.51,1257.64,15750.625,9.3,0.13,92.4739575642254
2011-01-03,42.20399999999999,41.6,2691.52,11670.75,1271.87,15750.625,9.3,0.19,92.4739575642254
2011-01-04,42.426,42.57899999999999,2681.25,11691.18,1270.2,15750.625,9.3,0.18,92.4739575642254
2011-01-05,42.772,42.26,2702.2,11722.89,1276.56,15750.625,9.3,0.18,92.4739575642254
2011-01-06,42.739,42.902,2709.89,11697.31,1273.85,15750.625,9.3,0.17,92.4739575642254
2011-01-07,43.045,42.787,2703.17,11674.76,1271.5,15750.625,9.3,0.17,92.4739575642254
2011-01-10,43.855,43.393,2707.8,11637.45,1269.75,15750.625,9.3,0.17,92.4739575642254
2011-01-11,43.751999999999995,44.176,2716.83,11671.88,1274.48,15750.625,9.3,0.17,92.4739575642254
2011-01-12,44.108000000000004,43.98,2737.33,11755.44,1285.96,15750.625,9.3,0.16,92.4739575642254
2011-01-13,44.266999999999996,44.202,2735.29,11731.9,1283.76,15750.625,9.3,0.16,92.4739575642254
2011-01-14,44.626999999999995,44.31,2755.3,11787.38,1293.24,15750.625,9.3,0.16,92.4739575642254
2011-01-18,43.623999999999995,41.882,2765.85,11837.93,1295.02,15750.625,9.3,0.19,92.4739575642254
2011-01-19,43.394,44.641000000000005,2725.36,11825.29,1281.92,15750.625,9.3,0.18,92.4739575642254
2011-01-20,42.605,43.053000000000004,2704.29,11822.8,1280.26,15750.625,9.3,0.18,92.4739575642254
2011-01-21,41.84,42.772,2689.54,11871.84,1283.35,15750.625,9.3,0.17,92.4739575642254
2011-01-24,43.216,41.88399999999999,2717.55,11980.52,1290.84,15750.625,9.3,0.18,92.4739575642254
2011-01-25,43.722,43.055,2719.25,11977.19,1291.18,15750.625,9.3,0.17,92.4739575642254
